,municipal,%_single_family,pop_2010,%nhwhi_2010,%bipoc_2010,%pop_u18,%pop_65o,%incu10,%in200o,income,%_compliant_zoning,city_size,parcel_year_built,total_value_psf,land_value_psf,floor_area_ratio,max_building_floors,max_floor_area_ratio,%_far_compliant_zoning
47,Marshfield,0.0,5.225746673713202,-0.01626052087178029,-4.532599493153256,-1.5621850275835547,-1.824549292051046,-5.7745515455444085,-1.497885426528353,4.855662192406821,96.139,20.403952331698903,1960.4965388986466,3.7242199036041685,3.157043922295145,0.12181593643721758,2.5,0.0,0.1543236485903957
48,Maynard,82.09067974378667,6.306275286948016,-0.052446475372542545,-3.4730619428917993,-1.5104847413512743,-2.086767581771909,-3.5857095198359286,-2.4275051339655733,4.653818889076346,95.38,18.728265546821323,1943.8473500476039,3.7844531983396568,3.1454229012224073,0.17353225944819836,0.004448398576512456,0.0,0.051601423487544484
49,Medfield,0.0,6.561030665896573,-0.07486987695248376,-3.7884419436567915,-0.9370131597092343,-3.1598332842344172,-6.690842277418564,-0.9131899541959069,5.020372147983599,97.887,19.76474622937292,1964.6660341555978,3.1186286671981716,2.481131283283099,0.08333969707219671,2.5129047395588926,0.30403566400750826,0.9870952604411075
50,Medford,53.14867724715639,6.0844994130751715,-0.07078425703236965,-3.887274835738952,-1.4595265997909004,-1.8503929084779118,-3.058430867769555,-1.4788459184851357,4.846649216963484,98.635,18.830659673581646,1924.664621370847,4.999091979088282,4.091144084129259,0.7281236586794654,2.6410973084886127,0.0,0.06991028295376121
51,Medway,0.0,6.9440872082295275,-0.07195910689054141,-3.8530447548712115,-1.091884728455053,-2.9928434896481,-4.237207282275508,-0.9985288301111273,4.999537438697385,95.957,19.512320514896096,,3.3594483599983733,-1.9159449895344305,0.0741684227697173,0.05842506350550381,0.0,0.11685012701100762
52,Melrose,28.866456779084913,5.796057750765372,-0.11588514174830461,-4.186619838331271,-1.452252328911688,-2.1851398381211475,-2.6430177308313554,-2.2907971372420035,4.691083820364405,99.097,18.546710522516303,1923.478344685773,4.702820430228767,4.05796719543777,0.5141357552237107,2.6529726516052317,0.10656956004756242,0.12687277051129608
53,Middleton,23.787179561802763,6.693323668269949,-0.048232698764304825,-3.860110324213733,-1.2816776164149088,-2.311297033596067,-4.630237962717172,-1.525306397198189,4.820620701818597,88.647,19.744892009756644,1972.838402178847,3.029844117007345,2.3863446323684814,0.06171012960148391,0.0,0.0,0.16286764705882353
54,Milford,87.22193338210323,6.858565034791365,-0.18526706702371137,-2.2942168433235293,-1.4075265812256648,-1.8087090275418283,-4.438721978350427,-2.366249105986684,4.684798558480656,94.047,19.741878292467508,1951.6371878923142,3.4534366330910427,2.357776039631439,0.15893408206115936,3.054710500490677,0.1723503434739941,0.11408243375858684
55,Millis,88.90747000687679,6.1070228877422545,-0.0316768566535702,-4.497584975308154,-1.3363382632765894,-2.194999882314108,-4.340803918849927,-1.7017465892346686,4.821489958844174,96.427,19.581961307777195,1963.6458247634719,2.850984034725456,1.8042016089381219,0.12399164703468404,2.5,0.0,0.16131169261344816
56,Milton,98.11171771719133,6.720220155135295,-0.09350240588627023,-2.7312361085710206,-1.510734002293874,-1.0031924537290733,-7.087573705557973,-1.3037485232282358,4.679549860357858,99.186,19.614343722736653,1936.2260324483775,4.597710039676692,3.8760304898935685,0.2268487450257113,0.0009342520144809063,0.01751722527151699,0.04881466775662735
